     77/99     20.5G    0.0184   0.01536  0.002654   0.03642       184       640    0.6819    0.8224    0.7757    0.7731    0.7241   0.01215   0.01133  0.004719
     78/99     20.5G   0.01836   0.01532  0.002602   0.03628       198       640    0.8387    0.7194    0.7701     0.768    0.7221   0.01201   0.01116  0.004695
     79/99     20.5G   0.01826   0.01497  0.002591   0.03582       127       640    0.8664    0.7424    0.7833    0.7812    0.7317    0.0122   0.01143  0.004664
     80/99     20.5G   0.01803   0.01499  0.002628   0.03565       182       640    0.9352    0.7301    0.7879    0.7861    0.7403   0.01201   0.01122  0.004945
     81/99     20.5G   0.01789   0.01475  0.002574   0.03522       154       640     0.796    0.7667    0.7917    0.7899    0.7463   0.01186   0.01101  0.004523
     82/99     20.5G   0.01828   0.01502  0.002698     0.036       193       640    0.8815    0.7381    0.7949    0.7932    0.7454   0.01182   0.01093  0.004617
     83/99     20.5G   0.01786   0.01467  0.002539   0.03507       175       640     0.813    0.7389    0.7847    0.7834     0.737   0.01183   0.01101  0.004561
     84/99     20.5G   0.01781    0.0148  0.002472   0.03508       152       640    0.8754    0.7359    0.7832    0.7814     0.745   0.01157   0.01059   0.00442
     85/99     20.5G   0.01774   0.01461  0.002516   0.03487       178       640     0.786    0.7924    0.8011    0.7991     0.756   0.01157   0.01066  0.004348
     86/99     20.5G   0.01761   0.01451  0.002452   0.03456       190       640    0.8089    0.7418    0.7726    0.7709    0.7296   0.01154   0.01073  0.004277
     87/99     20.5G   0.01757   0.01451  0.002268   0.03435       237       640    0.8435    0.7353    0.7793    0.7777     0.743   0.01151   0.01064  0.004592
     88/99     20.5G   0.01771    0.0147  0.002389   0.03481       216       640    0.8315    0.7393    0.7769    0.7755    0.7366   0.01155   0.01071  0.004501
     89/99     20.5G   0.01747   0.01425  0.002391   0.03411       246       640    0.8031    0.7485    0.7733    0.7713    0.7342   0.01149   0.01067  0.004364
     90/99     20.5G   0.01739   0.01451  0.002319   0.03422       169       640    0.7453    0.7892      0.78    0.7779    0.7432   0.01144   0.01049  0.004427
     91/99     20.5G   0.01777   0.01465  0.002342   0.03477       201       640    0.7665    0.8058    0.7909    0.7894    0.7494    0.0113   0.01033  0.004673
     92/99     20.5G   0.01753   0.01439  0.002412   0.03432       139       640    0.7896    0.7464    0.7739    0.7709    0.7366   0.01141   0.01049  0.004356
     93/99     20.5G   0.01718   0.01399  0.002343   0.03351       133       640    0.7548    0.8105    0.7759    0.7739    0.7361   0.01141    0.0105  0.004289
     94/99     20.5G   0.01735    0.0142  0.002374   0.03393       233       640    0.7623    0.7846    0.7707    0.7692    0.7319   0.01145   0.01057  0.004542
     95/99     20.5G   0.01734   0.01411  0.002284   0.03373       170       640    0.7618    0.7821    0.7961    0.7933    0.7561   0.01147   0.01065  0.004907
     96/99     20.5G   0.01751   0.01429  0.002318   0.03411       204       640     0.822    0.7617    0.7989    0.7971    0.7578   0.01151   0.01066  0.004622
     97/99     20.5G    0.0176   0.01451  0.002263   0.03437       193       640    0.8437    0.7574     0.791    0.7893    0.7507   0.01142   0.01059  0.004829
     98/99     20.5G   0.01738     0.014  0.002226    0.0336       162       640    0.8334     0.759    0.7886    0.7868    0.7452   0.01142   0.01053  0.004626
     99/99     20.5G   0.01742   0.01414  0.002294   0.03386       151       640    0.8187    0.7827    0.7947    0.7929    0.7524   0.01113   0.01017   0.00477
